street_address,project_id
67 Duffield Street,18CVCP063K
81 McGuinness Blvd,18CVCP023K
98 3rd Avenue,18CVCP051K
113 Hamilton Ave,19CVCP079K
137 Frost Street,18CVCP047K
183 McGuinness Blvd,17CVCP066K
288-292 Union Ave,19CVCP006K
633 Marcy Avenue,17CVCP060K
842-846 Flushing Ave,19CVCP068K
922 Myrtle Avenue,17CVCP049K
975 Manhattan Ave,19CVCP060K
1026-1030 Manhattan Ave,18CVCP040K
1048 Manhattan Ave,18CVCP014K
1096 Broadway,17CVCP072K
1457-1471 Flatbush Avenue,19CVCP010K
1458-1460 Flatbush Avenue,19CVCP020K
1516 Fulton Street,16CVCP043K
2437 Pitkin Ave,18CVCP016K
47 Walton Street,15CVCP129K
71 & 76 North 7th Street,16CVCP044K
141 Metropolitan Avenue,16CVCP072K
241-245 4th Avenue,17CVCP027K
415-419 Marcy Avenue,16CVCP041K
578 5th Avenue,17CVCP055K
609-619 4th Avenue,17CVCP054K
814 Bedford Avenue,16CVCP076K
1050-1066 Manhattan Avenue,18CVCP049K
1353 Flatbush Avenue,16CVCP070K
1-37 Forrest Street,14CVCP225K
20 Marcy Ave,15CVCP140K
79 Clay Street,14CVCP174K
79-97 4th Avenue and 82 St. Marks Place,13CVCP133K
80-82 Ainslie,15CVCP163K
125 Borinquen Place,13CVCP146K
153 Lorimer Street,15CVCP031K
291 Metropolitan Avenue,13CVCP118K
376-382 Wallabout Street,13CVCP150K
400 Union Ave,15CVCP119K
511 Meeker Avenue,22CVCP071K
533-537 Flushing Avenue,15CVCP048K
977 Manhattan Ave,15CVCP126K
1068-1072 Fulton Street,15CVCP165K
1146 Fulton Street,16CVCP014K
5111 4th Avenue,15CVCP115K
DOMINO SUGAR SITE A,15CVCP002K
DOMINO SUGAR SITE B 270-290 Kent Avenue,15CVCP003K
36-70 Noll,15CVCP072K
45 Walton Street,15CVCP012K
53 Grand Street,15CVCP071K
59-63 North 6th Street,15CVCP028K
89-141 Melrose Street,15CVCP073K
108 Frost Street,15CVCP081K
171-173 Bayrad Street,15CVCP024K
196 MIddleton Street,15CVCP085K
299-301 Wallabout Street,16CVCP008K
313 Wallabout Street,15CVCP068K
417 Manhattan Ave,15CVCP152K
575-581 4th Ave,17CVCP030K
635 4th Ave,14CVCP228K
687 Flushing Ave,18CVCP024K
771-781 Metro Ave,15CVCP113K
802-806 Myrtle Ave,15CVCP029K
901 Myrtle Ave,16CVCP047K
902-908 Flushing Ave,15CVCP084K
948 Myrtle Ave,15CVCP132K
1044 Bedford Ave,13CVCP156K
1570 60th Street,15CVCP161K
1875 Atlantic Ave,13CVCP149K